Generations:
0: ((5, 9, 6, 3, 1, 4, 8, 7, 0, 2), 794)
1: ((9, 0, 2, 5, 7, 1, 3, 6, 8, 4), 770)
2: ((9, 0, 2, 5, 7, 1, 3, 6, 8, 4), 770)
3: ((9, 0, 2, 5, 7, 1, 3, 6, 8, 4), 770)
4: ((9, 0, 2, 5, 7, 1, 3, 6, 8, 4), 770)
5: ((9, 0, 2, 5, 7, 1, 3, 6, 8, 4), 770)
6: ((9, 0, 2, 5, 7, 1, 3, 6, 8, 4), 770)
7: ((9, 0, 2, 5, 7, 1, 3, 6, 8, 4), 770)
8: ((0, 2, 1, 6, 5, 8, 4, 3, 9, 7), 769)
9: ((0, 2, 1, 6, 5, 8, 4, 3, 9, 7), 769)
10: ((0, 2, 1, 6, 5, 8, 4, 3, 9, 7), 769)
11: ((5, 9, 4, 8, 1, 7, 6, 2, 3, 0), 755)
12: ((5, 9, 4, 8, 1, 7, 6, 2, 3, 0), 766)
13: ((5, 9, 4, 8, 1, 7, 6, 2, 3, 0), 766)
14: ((5, 9, 4, 8, 1, 7, 6, 2, 3, 0), 766)
15: ((5, 9, 4, 8, 1, 7, 6, 2, 3, 0), 766)
16: ((5, 9, 4, 8, 1, 7, 6, 2, 3, 0), 766)
17: ((5, 9, 4, 8, 1, 7, 6, 2, 3, 0), 766)
18: ((5, 9, 4, 8, 1, 7, 6, 2, 3, 0), 766)
19: ((5, 9, 4, 8, 1, 7, 6, 2, 3, 0), 766)
20: ((5, 9, 4, 8, 1, 7, 6, 2, 3, 0), 766)
21: ((9, 0, 1, 5, 2, 3, 6, 4, 8, 7), 770)
22: ((9, 0, 1, 5, 2, 3, 6, 4, 8, 7), 770)
23: ((9, 0, 1, 5, 2, 3, 6, 4, 8, 7), 770)
24: ((5, 9, 4, 1, 7, 8, 6, 2, 3, 0), 765)
25: ((5, 9, 4, 1, 7, 8, 6, 2, 3, 0), 765)
26: ((9, 0, 5, 4, 7, 8, 6, 3, 2, 1), 755)
27: ((9, 0, 5, 4, 7, 8, 6, 3, 2, 1), 755)
28: ((9, 0, 5, 4, 7, 8, 6, 3, 2, 1), 755)
29: ((9, 0, 5, 4, 7, 8, 6, 3, 2, 1), 755)
30: ((9, 0, 5, 4, 7, 8, 6, 3, 2, 1), 755)
