Generations:
0: ((35, 22, 38, 10, 42, 41, 36, 17, 1, 24, 26, 5, 32, 2, 9, 14, 31, 15, 29, 46, 40, 47, 48, 0, 45, 11, 8, 27, 18, 4, 13, 37, 20, 12, 43, 39, 19, 21, 33, 49, 44, 34, 3, 28, 7, 16, 25, 23, 30, 6), 1291)
1: ((39, 21, 40, 48, 31, 23, 36, 26, 7, 30, 37, 19, 22, 13, 9, 44, 32, 17, 8, 29, 24, 1, 12, 10, 5, 49, 15, 34, 41, 45, 0, 4, 3, 46, 16, 47, 28, 25, 14, 42, 6, 43, 27, 20, 35, 11, 2, 33, 18, 38), 1238)
2: ((39, 21, 40, 48, 31, 23, 36, 26, 7, 30, 37, 19, 22, 13, 9, 44, 32, 17, 8, 29, 24, 1, 12, 10, 5, 49, 15, 34, 41, 45, 0, 4, 3, 46, 16, 47, 28, 25, 14, 42, 6, 43, 27, 20, 35, 11, 2, 33, 18, 38), 1238)
3: ((39, 21, 40, 48, 31, 23, 36, 26, 7, 30, 37, 19, 22, 13, 9, 44, 32, 17, 8, 29, 24, 1, 12, 10, 5, 49, 15, 34, 41, 45, 0, 4, 3, 46, 16, 47, 28, 25, 14, 42, 6, 43, 27, 20, 35, 11, 2, 33, 18, 38), 1238)
4: ((39, 21, 40, 48, 31, 23, 36, 26, 7, 30, 37, 19, 22, 13, 9, 44, 32, 17, 8, 29, 24, 1, 12, 10, 5, 49, 15, 34, 41, 45, 0, 4, 3, 46, 16, 47, 28, 25, 14, 42, 6, 43, 27, 20, 35, 11, 2, 33, 18, 38), 1238)
5: ((39, 21, 40, 48, 31, 23, 36, 26, 7, 30, 37, 19, 22, 13, 9, 44, 32, 17, 8, 29, 24, 1, 12, 10, 5, 49, 15, 34, 41, 45, 0, 4, 3, 46, 16, 47, 28, 25, 14, 42, 6, 43, 27, 20, 35, 11, 2, 33, 18, 38), 1238)
6: ((39, 21, 40, 48, 31, 23, 36, 26, 7, 30, 37, 19, 22, 13, 9, 44, 32, 17, 8, 29, 24, 1, 12, 10, 5, 49, 15, 34, 41, 45, 0, 4, 3, 46, 16, 47, 28, 25, 14, 42, 6, 43, 27, 20, 35, 11, 2, 33, 18, 38), 1238)
7: ((39, 21, 40, 48, 31, 23, 36, 26, 7, 30, 37, 19, 22, 13, 9, 44, 32, 17, 8, 29, 24, 1, 12, 10, 5, 49, 15, 34, 41, 45, 0, 4, 3, 46, 16, 47, 28, 25, 14, 42, 6, 43, 27, 20, 35, 11, 2, 33, 18, 38), 1238)
8: ((39, 21, 40, 48, 31, 23, 36, 26, 7, 30, 37, 19, 22, 13, 9, 44, 32, 17, 8, 29, 24, 1, 12, 10, 5, 49, 15, 34, 41, 45, 0, 4, 3, 46, 16, 47, 28, 25, 14, 42, 6, 43, 27, 20, 35, 11, 2, 33, 18, 38), 1238)
9: ((39, 21, 40, 48, 31, 23, 36, 26, 7, 30, 37, 19, 22, 13, 9, 44, 32, 17, 8, 29, 24, 1, 12, 10, 5, 49, 15, 34, 41, 45, 0, 4, 3, 46, 16, 47, 28, 25, 14, 42, 6, 43, 27, 20, 35, 11, 2, 33, 18, 38), 1238)
10: ((39, 21, 40, 48, 31, 23, 36, 26, 7, 30, 37, 19, 22, 13, 9, 44, 32, 17, 8, 29, 24, 1, 12, 10, 5, 49, 15, 34, 41, 45, 0, 4, 3, 46, 16, 47, 28, 25, 14, 42, 6, 43, 27, 20, 35, 11, 2, 33, 18, 38), 1238)
11: ((19, 44, 35, 27, 36, 3, 14, 11, 49, 43, 34, 24, 39, 7, 30, 16, 32, 4, 40, 33, 21, 31, 9, 20, 22, 42, 12, 46, 47, 15, 18, 8, 0, 17, 6, 38, 10, 45, 29, 41, 37, 28, 13, 2, 25, 23, 1, 26, 5, 48), 1229)
12: ((19, 44, 35, 27, 36, 3, 14, 11, 49, 43, 34, 24, 39, 7, 30, 16, 32, 4, 40, 33, 21, 31, 9, 20, 22, 42, 12, 46, 47, 15, 18, 8, 0, 17, 6, 38, 10, 45, 29, 41, 37, 28, 13, 2, 25, 23, 1, 26, 5, 48), 1229)
13: ((3, 14, 2, 33, 39, 21, 7, 26, 1, 42, 25, 43, 49, 44, 36, 41, 31, 15, 29, 46, 40, 47, 48, 0, 45, 11, 27, 18, 4, 13, 37, 30, 6, 34, 5, 20, 16, 10, 22, 23, 38, 24, 28, 12, 35, 19, 32, 9, 17, 8), 1179)
14: ((3, 14, 2, 33, 39, 21, 7, 26, 1, 42, 25, 43, 49, 44, 36, 41, 31, 15, 29, 46, 40, 47, 48, 0, 45, 11, 27, 18, 4, 13, 37, 30, 6, 34, 5, 20, 16, 10, 22, 23, 38, 24, 28, 12, 35, 19, 32, 9, 17, 8), 1179)
15: ((3, 14, 2, 33, 39, 21, 7, 26, 1, 42, 25, 43, 49, 44, 36, 41, 31, 15, 29, 46, 40, 47, 48, 0, 45, 11, 27, 18, 4, 13, 37, 30, 6, 34, 5, 20, 16, 10, 22, 23, 38, 24, 28, 12, 35, 19, 32, 9, 17, 8), 1179)
16: ((3, 14, 2, 33, 39, 21, 7, 26, 1, 42, 25, 43, 49, 44, 36, 41, 31, 15, 29, 46, 40, 47, 48, 0, 45, 11, 27, 18, 4, 13, 37, 30, 6, 34, 5, 20, 16, 10, 22, 23, 38, 24, 28, 12, 35, 19, 32, 9, 17, 8), 1179)
17: ((3, 14, 2, 33, 39, 21, 7, 26, 1, 42, 25, 43, 49, 44, 36, 41, 31, 15, 29, 46, 40, 47, 48, 0, 45, 11, 27, 18, 4, 13, 37, 30, 6, 34, 5, 20, 16, 10, 22, 23, 38, 24, 28, 12, 35, 19, 32, 9, 17, 8), 1179)
18: ((3, 14, 2, 33, 39, 21, 7, 26, 1, 42, 25, 43, 49, 44, 36, 41, 31, 15, 29, 46, 40, 47, 48, 0, 45, 11, 27, 18, 4, 13, 37, 30, 6, 34, 5, 20, 16, 10, 22, 23, 38, 24, 28, 12, 35, 19, 32, 9, 17, 8), 1179)
19: ((3, 14, 2, 33, 39, 21, 7, 26, 1, 42, 25, 43, 49, 44, 36, 41, 31, 15, 29, 46, 40, 47, 48, 0, 45, 11, 27, 18, 4, 13, 37, 30, 6, 34, 5, 20, 16, 10, 22, 23, 38, 24, 28, 12, 35, 19, 32, 9, 17, 8), 1179)
20: ((3, 14, 2, 33, 39, 21, 7, 26, 1, 42, 25, 43, 49, 44, 36, 41, 31, 15, 29, 46, 40, 47, 48, 0, 45, 11, 27, 18, 4, 13, 37, 30, 6, 34, 5, 20, 16, 10, 22, 23, 38, 24, 28, 12, 35, 19, 32, 9, 17, 8), 1179)
21: ((3, 14, 2, 33, 39, 21, 7, 26, 1, 42, 25, 43, 49, 44, 36, 41, 31, 15, 29, 46, 40, 47, 48, 0, 45, 11, 27, 18, 4, 13, 37, 30, 6, 34, 5, 20, 16, 10, 22, 23, 38, 24, 28, 12, 35, 19, 32, 9, 17, 8), 1179)
22: ((3, 14, 2, 33, 39, 21, 7, 26, 1, 42, 25, 43, 49, 44, 36, 41, 31, 15, 29, 46, 40, 47, 48, 0, 45, 11, 27, 18, 4, 13, 37, 30, 6, 34, 5, 20, 16, 10, 22, 23, 38, 24, 28, 12, 35, 19, 32, 9, 17, 8), 1179)
23: ((3, 14, 2, 33, 39, 21, 7, 26, 1, 42, 25, 43, 49, 44, 36, 41, 31, 15, 29, 46, 40, 47, 48, 0, 45, 11, 27, 18, 4, 13, 37, 30, 6, 34, 5, 20, 16, 10, 22, 23, 38, 24, 28, 12, 35, 19, 32, 9, 17, 8), 1179)
