Generations:
0: ((0, 1, 4, 7, 8, 6, 3, 9, 2, 5), 605)
1: ((0, 1, 4, 7, 8, 6, 3, 9, 2, 5), 605)
2: ((7, 4, 1, 5, 3, 0, 6, 8, 2, 9), 602)
3: ((7, 1, 4, 5, 0, 6, 9, 2, 8, 3), 593)
4: ((1, 7, 4, 8, 9, 6, 5, 2, 0, 3), 591)
5: ((1, 7, 4, 8, 9, 6, 5, 2, 0, 3), 591)
6: ((1, 7, 4, 8, 9, 6, 5, 2, 0, 3), 591)
7: ((9, 7, 5, 1, 0, 4, 6, 3, 8, 2), 583)
8: ((9, 7, 5, 1, 0, 4, 6, 3, 8, 2), 583)
9: ((9, 7, 5, 1, 0, 4, 6, 3, 8, 2), 583)
10: ((9, 7, 5, 1, 0, 4, 6, 3, 8, 2), 583)
11: ((7, 3, 6, 1, 5, 2, 0, 8, 9, 4), 582)
12: ((7, 3, 6, 1, 5, 2, 0, 8, 9, 4), 582)
13: ((7, 6, 1, 0, 5, 4, 3, 2, 9, 8), 581)
14: ((9, 7, 1, 6, 5, 4, 0, 3, 8, 2), 578)
15: ((7, 6, 8, 5, 1, 2, 0, 9, 4, 3), 565)
16: ((7, 6, 8, 5, 1, 2, 0, 9, 4, 3), 565)
17: ((7, 6, 8, 5, 1, 2, 0, 9, 4, 3), 565)
18: ((7, 6, 8, 5, 1, 2, 0, 9, 4, 3), 565)
19: ((7, 6, 1, 5, 4, 0, 2, 3, 9, 8), 569)
20: ((7, 6, 1, 5, 4, 0, 2, 3, 9, 8), 569)
21: ((7, 6, 1, 5, 4, 0, 2, 3, 9, 8), 569)
22: ((7, 6, 1, 5, 4, 0, 2, 3, 9, 8), 569)
23: ((7, 6, 1, 5, 4, 0, 2, 3, 9, 8), 569)
24: ((9, 7, 6, 5, 0, 1, 3, 2, 8, 4), 574)
25: ((9, 7, 6, 5, 0, 1, 3, 2, 8, 4), 574)
26: ((7, 6, 1, 5, 0, 4, 3, 8, 2, 9), 569)
27: ((7, 6, 1, 5, 0, 4, 3, 8, 2, 9), 569)
28: ((7, 6, 1, 5, 0, 4, 3, 8, 2, 9), 569)
29: ((7, 1, 6, 5, 4, 0, 8, 3, 2, 9), 566)
30: ((1, 7, 6, 5, 4, 2, 0, 8, 9, 3), 565)
31: ((1, 7, 6, 5, 4, 2, 0, 8, 9, 3), 565)
32: ((1, 7, 6, 5, 4, 2, 0, 8, 9, 3), 565)
33: ((1, 7, 6, 5, 4, 2, 0, 8, 9, 3), 565)
34: ((1, 7, 6, 5, 4, 2, 8, 0, 9, 3), 563)
35: ((1, 7, 6, 5, 4, 2, 8, 0, 9, 3), 563)
36: ((1, 7, 6, 5, 4, 2, 8, 0, 9, 3), 563)
37: ((1, 7, 6, 5, 4, 2, 8, 0, 9, 3), 563)
38: ((1, 7, 6, 5, 4, 2, 8, 0, 9, 3), 563)
39: ((1, 7, 6, 5, 4, 2, 8, 0, 9, 3), 563)
40: ((1, 7, 6, 5, 4, 2, 8, 0, 9, 3), 563)
41: ((1, 7, 6, 5, 4, 2, 0, 8, 9, 3), 565)
42: ((1, 7, 6, 5, 4, 2, 0, 3, 9, 8), 563)
43: ((1, 7, 6, 5, 4, 2, 0, 3, 9, 8), 563)
44: ((1, 7, 6, 5, 4, 2, 0, 3, 9, 8), 563)
45: ((1, 7, 6, 5, 4, 2, 0, 3, 9, 8), 563)
46: ((1, 7, 6, 5, 2, 4, 8, 9, 0, 3), 562)
47: ((1, 7, 6, 5, 2, 4, 8, 9, 0, 3), 562)
48: ((1, 7, 6, 5, 2, 4, 8, 9, 0, 3), 562)
49: ((1, 7, 6, 5, 2, 4, 8, 9, 0, 3), 562)
50: ((1, 7, 6, 5, 2, 4, 8, 9, 0, 3), 562)
51: ((1, 7, 6, 5, 2, 4, 8, 9, 0, 3), 562)
52: ((1, 7, 6, 5, 2, 4, 8, 9, 0, 3), 562)
53: ((1, 7, 6, 5, 2, 4, 8, 9, 0, 3), 562)
54: ((1, 7, 6, 5, 2, 4, 8, 9, 0, 3), 562)
55: ((1, 7, 6, 5, 2, 4, 8, 9, 0, 3), 562)
56: ((1, 7, 6, 5, 2, 4, 8, 9, 0, 3), 562)
57: ((7, 6, 1, 5, 0, 4, 8, 3, 9, 2), 568)
58: ((7, 6, 1, 5, 4, 2, 0, 8, 9, 3), 569)
59: ((7, 6, 1, 5, 0, 4, 3, 8, 2, 9), 566)
60: ((7, 6, 1, 5, 0, 4, 3, 8, 2, 9), 566)
61: ((7, 6, 1, 5, 0, 4, 3, 8, 2, 9), 566)
62: ((7, 6, 1, 5, 0, 4, 3, 8, 2, 9), 566)
63: ((7, 6, 1, 5, 0, 4, 3, 8, 2, 9), 566)
64: ((7, 6, 1, 5, 0, 4, 3, 8, 2, 9), 566)
65: ((7, 6, 1, 5, 0, 4, 3, 8, 2, 9), 566)
66: ((7, 6, 1, 5, 0, 4, 3, 8, 2, 9), 566)
67: ((7, 9, 6, 5, 0, 4, 3, 8, 1, 2), 565)
68: ((7, 9, 6, 5, 0, 4, 3, 8, 1, 2), 565)
69: ((9, 7, 6, 5, 4, 0, 8, 1, 3, 2), 567)
70: ((9, 7, 6, 5, 4, 0, 8, 1, 3, 2), 567)
71: ((9, 7, 6, 5, 4, 0, 8, 1, 3, 2), 567)
72: ((7, 9, 6, 5, 1, 4, 0, 2, 8, 3), 565)
