Generations:
0: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
1: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
2: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
3: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
4: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
5: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
6: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
7: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
8: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
9: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
10: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
11: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
12: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
13: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
14: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
15: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
16: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
17: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
18: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
19: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
20: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
21: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
22: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
23: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
24: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
25: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
26: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
27: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
28: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
29: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
30: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
31: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
32: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
33: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
34: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
35: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
36: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
37: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
38: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
39: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
40: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
41: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
42: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
43: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
44: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
45: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
46: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
47: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
48: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
49: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
50: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
51: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
52: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
53: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
54: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
55: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
56: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
57: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
58: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
59: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
60: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
61: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
62: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
63: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
64: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
65: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
66: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
67: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
68: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
69: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
70: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
71: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
72: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
73: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
74: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
75: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
76: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
77: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
78: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
79: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
80: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
81: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
82: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
83: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
84: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
85: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
86: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
87: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
88: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
89: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
90: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
91: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
92: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
93: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
94: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
95: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
Best: ((6, 14, 8, 9, 12, 5, 11, 3, 2, 1, 4, 7, 13, 10, 0), 1120)
Runtime: 7.7182682 s
