Generations:
0: ((4, 17, 23, 16, 9, 1, 2, 8, 13, 3, 7, 14, 20, 15, 0, 22, 21, 24, 10, 19, 6, 12, 18, 11, 5), 1218)
1: ((4, 17, 23, 16, 9, 1, 2, 8, 13, 3, 7, 14, 20, 15, 0, 22, 21, 24, 10, 19, 6, 12, 18, 11, 5), 1218)
2: ((4, 17, 23, 16, 9, 1, 2, 8, 13, 3, 7, 14, 20, 15, 0, 22, 21, 24, 10, 19, 6, 12, 18, 11, 5), 1218)
3: ((4, 17, 23, 16, 9, 1, 2, 8, 13, 3, 7, 14, 20, 15, 0, 22, 21, 24, 10, 19, 6, 12, 18, 11, 5), 1218)
4: ((4, 17, 23, 16, 9, 1, 2, 8, 13, 3, 7, 14, 20, 15, 0, 22, 21, 24, 10, 19, 6, 12, 18, 11, 5), 1218)
5: ((4, 17, 23, 16, 9, 1, 2, 8, 13, 3, 7, 14, 20, 15, 0, 22, 21, 24, 10, 19, 6, 12, 18, 11, 5), 1218)
6: ((4, 17, 23, 16, 9, 1, 2, 8, 13, 3, 7, 14, 20, 15, 0, 22, 21, 24, 10, 19, 6, 12, 18, 11, 5), 1218)
7: ((4, 17, 23, 16, 9, 1, 2, 8, 13, 3, 7, 14, 20, 15, 0, 22, 21, 24, 10, 19, 6, 12, 18, 11, 5), 1218)
8: ((4, 17, 23, 16, 9, 1, 2, 8, 13, 3, 7, 14, 20, 15, 0, 22, 21, 24, 10, 19, 6, 12, 18, 11, 5), 1218)
9: ((4, 17, 23, 16, 9, 1, 2, 8, 13, 3, 7, 14, 20, 15, 0, 22, 21, 24, 10, 19, 6, 12, 18, 11, 5), 1218)
10: ((4, 17, 23, 16, 9, 1, 2, 8, 13, 3, 7, 14, 20, 15, 0, 22, 21, 24, 10, 19, 6, 12, 18, 11, 5), 1218)
11: ((4, 17, 23, 16, 9, 1, 2, 8, 13, 3, 7, 14, 20, 15, 0, 22, 21, 24, 10, 19, 6, 12, 18, 11, 5), 1218)
